config_id,seed,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time
lr0.001_bs64_dr0.2_ls0.2,42,64,0.8828,0.9938,0.8752,0.9968,30.92
lr0.001_bs64_dr0.2_ls0.2,42,65,0.8817,0.9941,0.8745,0.9972,30.90
lr0.001_bs64_dr0.2_ls0.2,42,66,0.8819,0.9939,0.8746,0.9973,30.86
lr0.001_bs64_dr0.2_ls0.2,42,67,0.8822,0.9937,0.8744,0.9969,31.05
lr0.001_bs64_dr0.2_ls0.2,42,68,0.8823,0.9936,0.8751,0.9971,30.84
lr0.001_bs64_dr0.2_ls0.2,42,69,0.8803,0.9949,0.8743,0.9968,31.01
lr0.001_bs64_dr0.2_ls0.2,42,70,0.8813,0.9938,0.8745,0.9972,31.01
lr0.001_bs64_dr0.2_ls0.2,42,71,0.8812,0.9939,0.8744,0.9972,31.07
lr0.001_bs64_dr0.2_ls0.2,42,72,0.8802,0.9944,0.8742,0.9970,30.99
lr0.001_bs64_dr0.2_ls0.2,42,73,0.8810,0.9940,0.8746,0.9970,34.97
lr0.001_bs64_dr0.2_ls0.2,42,74,0.8807,0.9942,0.8750,0.9964,30.99
lr0.001_bs64_dr0.2_ls0.2,42,75,0.8804,0.9947,0.8738,0.9976,30.97
lr0.001_bs64_dr0.2_ls0.2,42,76,0.8798,0.9950,0.8745,0.9970,31.01
lr0.001_bs64_dr0.2_ls0.2,42,77,0.8807,0.9942,0.8738,0.9970,30.97
lr0.001_bs64_dr0.2_ls0.2,42,78,0.8801,0.9945,0.8740,0.9972,31.04
lr0.001_bs64_dr0.2_ls0.2,42,79,0.8801,0.9945,0.8739,0.9972,31.17
lr0.001_bs64_dr0.2_ls0.2,42,80,0.8795,0.9948,0.8737,0.9974,31.14
lr0.001_bs64_dr0.2_ls0.2,42,81,0.8796,0.9948,0.8738,0.9972,31.06
lr0.001_bs64_dr0.2_ls0.2,42,82,0.8790,0.9951,0.8737,0.9973,31.13
lr0.001_bs64_dr0.2_ls0.2,42,83,0.8790,0.9950,0.8738,0.9975,31.13
lr0.001_bs64_dr0.2_ls0.2,42,84,0.8789,0.9951,0.8733,0.9975,31.01
lr0.001_bs64_dr0.2_ls0.2,42,85,0.8783,0.9955,0.8737,0.9974,30.98
lr0.001_bs64_dr0.2_ls0.2,42,86,0.8787,0.9954,0.8738,0.9972,31.23
lr0.001_bs64_dr0.2_ls0.2,42,87,0.8787,0.9951,0.8736,0.9976,30.72
lr0.001_bs64_dr0.2_ls0.2,42,88,0.8783,0.9955,0.8736,0.9974,30.98
lr0.001_bs64_dr0.2_ls0.2,42,89,0.8789,0.9950,0.8736,0.9974,30.81
lr0.001_bs64_dr0.2_ls0.2,42,90,0.8780,0.9955,0.8732,0.9976,30.85
lr0.001_bs64_dr0.2_ls0.2,42,91,0.8784,0.9953,0.8735,0.9976,30.99
lr0.001_bs64_dr0.2_ls0.2,42,92,0.8794,0.9948,0.8736,0.9974,31.07
lr0.001_bs64_dr0.2_ls0.2,42,93,0.8796,0.9946,0.8735,0.9974,31.12
lr0.001_bs64_dr0.2_ls0.2,42,94,0.8783,0.9952,0.8734,0.9976,30.99
lr0.001_bs64_dr0.2_ls0.2,42,95,0.8786,0.9952,0.8733,0.9973,30.96
lr0.001_bs64_dr0.2_ls0.2,42,96,0.8777,0.9957,0.8734,0.9976,30.95
lr0.001_bs64_dr0.2_ls0.2,42,97,0.8784,0.9954,0.8734,0.9976,30.91
lr0.001_bs64_dr0.2_ls0.2,42,98,0.8789,0.9952,0.8734,0.9976,31.04
lr0.001_bs64_dr0.2_ls0.2,42,99,0.8776,0.9957,0.8734,0.9977,30.94
lr0.001_bs64_dr0.2_ls0.2,42,100,0.8778,0.9954,0.8733,0.9976,30.82
lr0.001_bs64_dr0.2_ls0.2,43,1,1.6836,0.7741,1.0468,0.9573,30.97
lr0.001_bs64_dr0.2_ls0.2,43,2,1.0714,0.9368,0.9866,0.9783,31.17
lr0.001_bs64_dr0.2_ls0.2,43,3,1.0118,0.9566,0.9447,0.9858,31.07
lr0.001_bs64_dr0.2_ls0.2,43,4,0.9831,0.9651,0.9623,0.9852,30.78
lr0.001_bs64_dr0.2_ls0.2,43,5,0.9645,0.9696,0.9223,0.9887,30.96
lr0.001_bs64_dr0.2_ls0.2,43,6,0.9532,0.9724,0.9164,0.9884,31.02
lr0.001_bs64_dr0.2_ls0.2,43,7,0.9424,0.9754,0.9004,0.9923,30.75
lr0.001_bs64_dr0.2_ls0.2,43,8,0.9368,0.9756,0.9031,0.9910,30.88
lr0.001_bs64_dr0.2_ls0.2,43,9,0.9322,0.9771,0.8925,0.9932,30.93
lr0.001_bs64_dr0.2_ls0.2,43,10,0.9277,0.9789,0.8955,0.9924,30.88
lr0.001_bs64_dr0.2_ls0.2,43,11,0.9240,0.9798,0.8945,0.9926,33.27
lr0.001_bs64_dr0.2_ls0.2,43,12,0.9216,0.9799,0.8950,0.9922,31.40
lr0.001_bs64_dr0.2_ls0.2,43,13,0.9170,0.9816,0.8896,0.9929,30.98
lr0.001_bs64_dr0.2_ls0.2,43,14,0.9143,0.9829,0.8872,0.9932,30.75
lr0.001_bs64_dr0.2_ls0.2,43,15,0.9139,0.9825,0.8900,0.9942,31.03
lr0.001_bs64_dr0.2_ls0.2,43,16,0.9138,0.9824,0.8855,0.9946,31.08
lr0.001_bs64_dr0.2_ls0.2,43,17,0.9105,0.9829,0.8875,0.9931,31.02
lr0.001_bs64_dr0.2_ls0.2,43,18,0.9089,0.9836,0.8834,0.9950,34.88
lr0.001_bs64_dr0.2_ls0.2,43,19,0.9084,0.9841,0.8859,0.9934,31.01
lr0.001_bs64_dr0.2_ls0.2,43,20,0.9066,0.9847,0.8849,0.9940,31.20
lr0.001_bs64_dr0.2_ls0.2,43,21,0.9042,0.9857,0.8839,0.9951,30.87
lr0.001_bs64_dr0.2_ls0.2,43,22,0.9043,0.9854,0.8813,0.9951,31.00
lr0.001_bs64_dr0.2_ls0.2,43,23,0.9020,0.9869,0.8817,0.9949,31.07
lr0.001_bs64_dr0.2_ls0.2,43,24,0.9013,0.9868,0.8795,0.9952,31.34
lr0.001_bs64_dr0.2_ls0.2,43,25,0.9005,0.9868,0.8816,0.9945,31.15
lr0.001_bs64_dr0.2_ls0.2,43,26,0.8997,0.9872,0.8826,0.9949,30.98
lr0.001_bs64_dr0.2_ls0.2,43,27,0.8988,0.9873,0.8790,0.9955,30.72
lr0.001_bs64_dr0.2_ls0.2,43,28,0.8987,0.9875,0.8781,0.9960,30.94
lr0.001_bs64_dr0.2_ls0.2,43,29,0.8980,0.9873,0.8790,0.9957,31.14
lr0.001_bs64_dr0.2_ls0.2,43,30,0.8960,0.9882,0.8781,0.9952,30.76
lr0.001_bs64_dr0.2_ls0.2,43,31,0.8960,0.9889,0.8775,0.9962,31.05
lr0.001_bs64_dr0.2_ls0.2,43,32,0.8954,0.9887,0.8799,0.9954,30.81
lr0.001_bs64_dr0.2_ls0.2,43,33,0.8938,0.9892,0.8776,0.9958,31.00
lr0.001_bs64_dr0.2_ls0.2,43,34,0.8945,0.9891,0.8794,0.9957,31.12
lr0.001_bs64_dr0.2_ls0.2,43,35,0.8942,0.9890,0.8785,0.9958,31.02
lr0.001_bs64_dr0.2_ls0.2,43,36,0.8922,0.9892,0.8795,0.9954,31.12
lr0.001_bs64_dr0.2_ls0.2,43,37,0.8919,0.9898,0.8767,0.9964,31.02
lr0.001_bs64_dr0.2_ls0.2,43,38,0.8919,0.9896,0.8765,0.9962,30.74
lr0.001_bs64_dr0.2_ls0.2,43,39,0.8900,0.9906,0.8774,0.9959,31.04
lr0.001_bs64_dr0.2_ls0.2,43,40,0.8906,0.9903,0.8776,0.9958,30.95
lr0.001_bs64_dr0.2_ls0.2,43,41,0.8913,0.9900,0.8780,0.9958,31.08
lr0.001_bs64_dr0.2_ls0.2,43,42,0.8895,0.9908,0.8774,0.9955,31.01
lr0.001_bs64_dr0.2_ls0.2,43,43,0.8899,0.9905,0.8788,0.9948,30.97
lr0.001_bs64_dr0.2_ls0.2,43,44,0.8892,0.9910,0.8765,0.9960,31.01
lr0.001_bs64_dr0.2_ls0.2,43,45,0.8891,0.9909,0.8786,0.9956,31.13
lr0.001_bs64_dr0.2_ls0.2,43,46,0.8876,0.9916,0.8777,0.9956,30.96
lr0.001_bs64_dr0.2_ls0.2,43,47,0.8872,0.9916,0.8771,0.9962,30.90
lr0.001_bs64_dr0.2_ls0.2,43,48,0.8877,0.9911,0.8751,0.9967,31.05
lr0.001_bs64_dr0.2_ls0.2,43,49,0.8857,0.9923,0.8768,0.9962,31.12
lr0.001_bs64_dr0.2_ls0.2,43,50,0.8870,0.9918,0.8754,0.9964,31.15
lr0.001_bs64_dr0.2_ls0.2,43,51,0.8864,0.9919,0.8773,0.9952,30.86
lr0.001_bs64_dr0.2_ls0.2,43,52,0.8859,0.9923,0.8760,0.9961,31.08
lr0.001_bs64_dr0.2_ls0.2,43,53,0.8863,0.9920,0.8760,0.9964,30.79
lr0.001_bs64_dr0.2_ls0.2,43,54,0.8841,0.9931,0.8751,0.9966,31.23
lr0.001_bs64_dr0.2_ls0.2,43,55,0.8848,0.9923,0.8758,0.9962,31.07
lr0.001_bs64_dr0.2_ls0.2,43,56,0.8848,0.9924,0.8755,0.9964,30.95
lr0.001_bs64_dr0.2_ls0.2,43,57,0.8846,0.9928,0.8763,0.9966,30.93
lr0.001_bs64_dr0.2_ls0.2,43,58,0.8844,0.9926,0.8764,0.9959,30.92
