config_id,seed,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time
lr0.0005_bs128_dr0.0_ls0.1,42,63,0.6964,0.9995,0.7089,0.9947,249.61
lr0.0005_bs128_dr0.0_ls0.1,42,64,0.6962,0.9996,0.7097,0.9949,363.47
lr0.0005_bs128_dr0.0_ls0.1,42,65,0.6965,0.9994,0.7084,0.9953,308.83
lr0.0005_bs128_dr0.0_ls0.1,42,66,0.6960,0.9997,0.7089,0.9952,372.52
lr0.0005_bs128_dr0.0_ls0.1,42,67,0.6963,0.9995,0.7093,0.9947,346.89
lr0.0005_bs128_dr0.0_ls0.1,42,68,0.6961,0.9996,0.7083,0.9953,357.03
lr0.0005_bs128_dr0.0_ls0.1,42,69,0.6963,0.9996,0.7095,0.9947,440.31
lr0.0005_bs128_dr0.0_ls0.1,42,70,0.6959,0.9996,0.7075,0.9953,366.85
lr0.0005_bs128_dr0.0_ls0.1,42,71,0.6959,0.9996,0.7090,0.9949,413.65
lr0.0005_bs128_dr0.0_ls0.1,42,72,0.6959,0.9996,0.7091,0.9951,355.38
lr0.0005_bs128_dr0.0_ls0.1,42,73,0.6958,0.9996,0.7097,0.9952,356.16
lr0.0005_bs128_dr0.0_ls0.1,42,74,0.6959,0.9995,0.7091,0.9946,445.29
lr0.0005_bs128_dr0.0_ls0.1,42,75,0.6957,0.9997,0.7086,0.9948,464.57
lr0.0005_bs128_dr0.0_ls0.1,42,76,0.6958,0.9996,0.7088,0.9947,397.91
lr0.0005_bs128_dr0.0_ls0.1,42,77,0.6952,0.9997,0.7082,0.9953,295.75
lr0.0005_bs128_dr0.0_ls0.1,42,78,0.6950,0.9998,0.7070,0.9954,386.98
lr0.0005_bs128_dr0.0_ls0.1,42,79,0.6951,0.9998,0.7078,0.9954,424.20
lr0.0005_bs128_dr0.0_ls0.1,42,80,0.6952,0.9997,0.7083,0.9953,419.67
lr0.0005_bs128_dr0.0_ls0.1,42,81,0.6951,0.9997,0.7078,0.9953,330.85
lr0.0005_bs128_dr0.0_ls0.1,42,82,0.6951,0.9998,0.7086,0.9947,262.73
lr0.0005_bs128_dr0.0_ls0.1,42,83,0.6950,0.9998,0.7078,0.9956,365.79
lr0.0005_bs128_dr0.0_ls0.1,42,84,0.6948,0.9998,0.7067,0.9958,404.38
lr0.0005_bs128_dr0.0_ls0.1,42,85,0.6950,0.9998,0.7070,0.9958,128.77
lr0.0005_bs128_dr0.0_ls0.1,42,86,0.6950,0.9998,0.7058,0.9962,58.07
lr0.0005_bs128_dr0.0_ls0.1,42,87,0.6950,0.9998,0.7077,0.9956,47.50
lr0.0005_bs128_dr0.0_ls0.1,42,88,0.6948,0.9999,0.7058,0.9958,42.10
lr0.0005_bs128_dr0.0_ls0.1,42,89,0.6951,0.9997,0.7067,0.9956,39.47
lr0.0005_bs128_dr0.0_ls0.1,42,90,0.6949,0.9998,0.7085,0.9949,36.85
lr0.0005_bs128_dr0.0_ls0.1,42,91,0.6947,0.9998,0.7062,0.9965,35.17
lr0.0005_bs128_dr0.0_ls0.1,42,92,0.6947,0.9999,0.7088,0.9953,34.05
lr0.0005_bs128_dr0.0_ls0.1,42,93,0.6946,0.9999,0.7073,0.9954,33.13
lr0.0005_bs128_dr0.0_ls0.1,42,94,0.6945,0.9998,0.7062,0.9955,32.72
lr0.0005_bs128_dr0.0_ls0.1,42,95,0.6945,0.9999,0.7074,0.9953,32.35
lr0.0005_bs128_dr0.0_ls0.1,42,96,0.6946,0.9998,0.7062,0.9957,32.15
lr0.0005_bs128_dr0.0_ls0.1,42,97,0.6944,0.9999,0.7070,0.9955,32.14
lr0.0005_bs128_dr0.0_ls0.1,42,98,0.6944,0.9998,0.7059,0.9959,31.78
lr0.0005_bs128_dr0.0_ls0.1,42,99,0.6944,0.9999,0.7060,0.9957,31.94
lr0.0005_bs128_dr0.0_ls0.1,42,100,0.6944,0.9999,0.7073,0.9956,31.93
lr0.0005_bs128_dr0.0_ls0.1,43,1,3.7519,0.4132,1.7999,0.6737,32.11
lr0.0005_bs128_dr0.0_ls0.1,43,2,1.2783,0.8497,1.2060,0.8672,32.08
lr0.0005_bs128_dr0.0_ls0.1,43,3,1.0051,0.9368,0.9673,0.9470,32.00
lr0.0005_bs128_dr0.0_ls0.1,43,4,0.9140,0.9611,0.9488,0.9432,31.93
lr0.0005_bs128_dr0.0_ls0.1,43,5,0.8705,0.9697,0.8863,0.9646,31.87
lr0.0005_bs128_dr0.0_ls0.1,43,6,0.8431,0.9752,0.8580,0.9694,31.82
lr0.0005_bs128_dr0.0_ls0.1,43,7,0.8260,0.9785,0.8629,0.9647,31.69
lr0.0005_bs128_dr0.0_ls0.1,43,8,0.8142,0.9800,0.8326,0.9743,31.68
lr0.0005_bs128_dr0.0_ls0.1,43,9,0.7989,0.9834,0.8213,0.9750,31.60
lr0.0005_bs128_dr0.0_ls0.1,43,10,0.7910,0.9842,0.8394,0.9649,31.53
lr0.0005_bs128_dr0.0_ls0.1,43,11,0.7865,0.9837,0.7868,0.9824,31.49
lr0.0005_bs128_dr0.0_ls0.1,43,12,0.7772,0.9863,0.8076,0.9769,31.46
lr0.0005_bs128_dr0.0_ls0.1,43,13,0.7698,0.9877,0.7832,0.9822,31.45
lr0.0005_bs128_dr0.0_ls0.1,43,14,0.7627,0.9885,0.7905,0.9801,31.37
lr0.0005_bs128_dr0.0_ls0.1,43,15,0.7627,0.9882,0.7745,0.9835,31.51
lr0.0005_bs128_dr0.0_ls0.1,43,16,0.7568,0.9889,0.7894,0.9786,31.43
lr0.0005_bs128_dr0.0_ls0.1,43,17,0.7524,0.9899,0.7660,0.9850,31.43
lr0.0005_bs128_dr0.0_ls0.1,43,18,0.7500,0.9899,0.7573,0.9865,31.45
lr0.0005_bs128_dr0.0_ls0.1,43,19,0.7487,0.9899,0.7606,0.9862,31.46
lr0.0005_bs128_dr0.0_ls0.1,43,20,0.7434,0.9911,0.7692,0.9820,31.44
lr0.0005_bs128_dr0.0_ls0.1,43,21,0.7438,0.9906,0.7526,0.9863,31.45
lr0.0005_bs128_dr0.0_ls0.1,43,22,0.7401,0.9912,0.7607,0.9855,31.36
lr0.0005_bs128_dr0.0_ls0.1,43,23,0.7381,0.9917,0.7644,0.9828,31.36
lr0.0005_bs128_dr0.0_ls0.1,43,24,0.7364,0.9922,0.7513,0.9869,31.37
lr0.0005_bs128_dr0.0_ls0.1,43,25,0.7338,0.9923,0.7452,0.9869,31.37
lr0.0005_bs128_dr0.0_ls0.1,43,26,0.7322,0.9923,0.7462,0.9870,31.31
lr0.0005_bs128_dr0.0_ls0.1,43,27,0.7305,0.9932,0.7478,0.9873,31.31
lr0.0005_bs128_dr0.0_ls0.1,43,28,0.7296,0.9932,0.7404,0.9889,31.20
lr0.0005_bs128_dr0.0_ls0.1,43,29,0.7255,0.9940,0.7370,0.9894,31.16
lr0.0005_bs128_dr0.0_ls0.1,43,30,0.7280,0.9932,0.7381,0.9890,31.11
lr0.0005_bs128_dr0.0_ls0.1,43,31,0.7233,0.9945,0.7378,0.9887,31.22
lr0.0005_bs128_dr0.0_ls0.1,43,32,0.7252,0.9939,0.7490,0.9862,31.29
lr0.0005_bs128_dr0.0_ls0.1,43,33,0.7230,0.9944,0.7309,0.9910,31.11
lr0.0005_bs128_dr0.0_ls0.1,43,34,0.7219,0.9943,0.7603,0.9834,31.23
lr0.0005_bs128_dr0.0_ls0.1,43,35,0.7223,0.9941,0.7370,0.9899,31.12
lr0.0005_bs128_dr0.0_ls0.1,43,36,0.7193,0.9949,0.7377,0.9881,31.28
lr0.0005_bs128_dr0.0_ls0.1,43,37,0.7211,0.9944,0.7296,0.9909,31.20
lr0.0005_bs128_dr0.0_ls0.1,43,38,0.7187,0.9948,0.7333,0.9894,31.21
lr0.0005_bs128_dr0.0_ls0.1,43,39,0.7181,0.9948,0.7288,0.9913,31.23
lr0.0005_bs128_dr0.0_ls0.1,43,40,0.7168,0.9954,0.7336,0.9887,31.25
lr0.0005_bs128_dr0.0_ls0.1,43,41,0.7146,0.9959,0.7281,0.9906,31.25
lr0.0005_bs128_dr0.0_ls0.1,43,42,0.7183,0.9949,0.7286,0.9911,31.20
lr0.0005_bs128_dr0.0_ls0.1,43,43,0.7137,0.9963,0.7269,0.9911,31.26
lr0.0005_bs128_dr0.0_ls0.1,43,44,0.7158,0.9953,0.7265,0.9915,31.21
lr0.0005_bs128_dr0.0_ls0.1,43,45,0.7143,0.9959,0.7257,0.9912,31.16
lr0.0005_bs128_dr0.0_ls0.1,43,46,0.7139,0.9956,0.7322,0.9907,31.21
lr0.0005_bs128_dr0.0_ls0.1,43,47,0.7145,0.9955,0.7241,0.9912,31.12
lr0.0005_bs128_dr0.0_ls0.1,43,48,0.7120,0.9962,0.7294,0.9903,31.20
lr0.0005_bs128_dr0.0_ls0.1,43,49,0.7124,0.9959,0.7303,0.9908,31.17
lr0.0005_bs128_dr0.0_ls0.1,43,50,0.7109,0.9963,0.7257,0.9914,31.20
lr0.0005_bs128_dr0.0_ls0.1,43,51,0.7123,0.9957,0.7268,0.9908,31.12
