config_id,seed,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time
lr0.001_bs64_dr0.15_ls0.15,42,64,0.7078,0.9941,0.7008,0.9965,31.17
lr0.001_bs64_dr0.15_ls0.15,42,65,0.7078,0.9941,0.7007,0.9965,30.90
lr0.001_bs64_dr0.15_ls0.15,42,66,0.7069,0.9945,0.6999,0.9972,31.10
lr0.001_bs64_dr0.15_ls0.15,42,67,0.7077,0.9942,0.7006,0.9968,30.97
lr0.001_bs64_dr0.15_ls0.15,42,68,0.7082,0.9938,0.7003,0.9966,31.21
lr0.001_bs64_dr0.15_ls0.15,42,69,0.7065,0.9943,0.7008,0.9967,31.12
lr0.001_bs64_dr0.15_ls0.15,42,70,0.7061,0.9946,0.7007,0.9971,31.14
lr0.001_bs64_dr0.15_ls0.15,42,71,0.7057,0.9947,0.7006,0.9968,31.16
lr0.001_bs64_dr0.15_ls0.15,42,72,0.7055,0.9951,0.7006,0.9969,31.18
lr0.001_bs64_dr0.15_ls0.15,42,73,0.7069,0.9941,0.7004,0.9967,31.16
lr0.001_bs64_dr0.15_ls0.15,42,74,0.7060,0.9946,0.7008,0.9966,31.13
lr0.001_bs64_dr0.15_ls0.15,42,75,0.7061,0.9947,0.7004,0.9968,31.32
lr0.001_bs64_dr0.15_ls0.15,42,76,0.7052,0.9953,0.7005,0.9968,31.03
lr0.001_bs64_dr0.15_ls0.15,42,77,0.7051,0.9951,0.6998,0.9971,31.17
lr0.001_bs64_dr0.15_ls0.15,42,78,0.7056,0.9948,0.7003,0.9969,31.28
lr0.001_bs64_dr0.15_ls0.15,42,79,0.7060,0.9946,0.6996,0.9972,31.21
lr0.001_bs64_dr0.15_ls0.15,42,80,0.7054,0.9950,0.7000,0.9969,31.17
lr0.001_bs64_dr0.15_ls0.15,42,81,0.7051,0.9952,0.6996,0.9970,31.21
lr0.001_bs64_dr0.15_ls0.15,42,82,0.7045,0.9954,0.7002,0.9966,31.03
lr0.001_bs64_dr0.15_ls0.15,42,83,0.7044,0.9954,0.7000,0.9969,31.22
lr0.001_bs64_dr0.15_ls0.15,42,84,0.7042,0.9955,0.6993,0.9973,31.23
lr0.001_bs64_dr0.15_ls0.15,42,85,0.7037,0.9960,0.6998,0.9972,31.25
lr0.001_bs64_dr0.15_ls0.15,42,86,0.7041,0.9954,0.6996,0.9971,31.27
lr0.001_bs64_dr0.15_ls0.15,42,87,0.7044,0.9955,0.6998,0.9970,31.18
lr0.001_bs64_dr0.15_ls0.15,42,88,0.7034,0.9959,0.6996,0.9971,31.19
lr0.001_bs64_dr0.15_ls0.15,42,89,0.7045,0.9955,0.7000,0.9971,31.27
lr0.001_bs64_dr0.15_ls0.15,42,90,0.7033,0.9959,0.6996,0.9971,31.16
lr0.001_bs64_dr0.15_ls0.15,42,91,0.7039,0.9951,0.6994,0.9972,30.97
lr0.001_bs64_dr0.15_ls0.15,42,92,0.7041,0.9958,0.6994,0.9972,31.14
lr0.001_bs64_dr0.15_ls0.15,42,93,0.7051,0.9950,0.6993,0.9971,31.40
lr0.001_bs64_dr0.15_ls0.15,42,94,0.7040,0.9952,0.6994,0.9972,31.24
lr0.001_bs64_dr0.15_ls0.15,42,95,0.7040,0.9955,0.6993,0.9970,31.14
lr0.001_bs64_dr0.15_ls0.15,42,96,0.7032,0.9957,0.6995,0.9972,31.00
lr0.001_bs64_dr0.15_ls0.15,42,97,0.7039,0.9956,0.6993,0.9972,31.12
lr0.001_bs64_dr0.15_ls0.15,42,98,0.7041,0.9958,0.6995,0.9971,31.12
