lr,batch_size,dropout,label_smoothing,best_train_loss,best_train_acc,best_val_loss,best_val_acc
0.001,64,0.0,0.0,0.0005711865935238231,0.9999200358239508,0.021794910743550333,0.9959656762295082
0.001,64,0.0,0.1,0.6945921568004676,0.999904042988741,0.7064795162366784,0.9959016393442623
0.001,64,0.1,0.0,0.0015147077799442356,0.999536207778915,0.024081687852979965,0.9946849385245902
0.001,64,0.1,0.1,0.6965694840301943,0.999808085977482,0.7094747472602083,0.9951972336065574
0.001,128,0.0,0.0,0.0007213058314792921,0.9999039446721312,0.02106275921776805,0.9955814549180327
0.001,128,0.0,0.1,0.6937136201297536,0.9999519723360656,0.7046202340089451,0.9962858606557377
0.001,128,0.1,0.0,0.0013911104598499434,0.9997278432377049,0.0250601301050109,0.9943007172131147
0.001,128,0.1,0.1,0.6967872652556281,0.9998559170081968,0.7094511866264636,0.9951331967213115
0.0005,64,0.0,0.0,0.0006830439910099394,0.999904042988741,0.02006953098555006,0.9956454918032787
0.0005,64,0.0,0.1,0.6953236876241387,0.999904042988741,0.7055542799517932,0.9963498975409836
0.0005,64,0.1,0.0,0.001185712173624928,0.9997601074718526,0.024541816381385365,0.994813012295082
0.0005,64,0.1,0.1,0.6977194681191993,0.9997761003070624,0.7094091930047935,0.9951972336065574
0.0005,128,0.0,0.0,0.0006470264311742318,0.9998879354508197,0.019804250085107087,0.9957735655737705
0.0005,128,0.0,0.1,0.6943524628953861,0.9999199538934426,0.7057709525613224,0.9964779713114754
0.0005,128,0.1,0.0,0.001318663095283802,0.9997118340163934,0.0254347195555849,0.9941726434426229
0.0005,128,0.1,0.1,0.6972859493606841,0.9998399077868853,0.7105137032316164,0.9952612704918032
