config_id,seed,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time
lr0.001_bs64_dr0.0_ls0.0,42,64,0.0061,0.9980,0.0318,0.9925,30.93
lr0.001_bs64_dr0.0_ls0.0,42,65,0.0059,0.9982,0.0292,0.9931,30.89
lr0.001_bs64_dr0.0_ls0.0,42,66,0.0058,0.9981,0.0293,0.9930,30.94
lr0.001_bs64_dr0.0_ls0.0,42,67,0.0056,0.9982,0.0298,0.9937,30.91
lr0.001_bs64_dr0.0_ls0.0,42,68,0.0073,0.9976,0.0275,0.9934,30.92
lr0.001_bs64_dr0.0_ls0.0,42,69,0.0062,0.9982,0.0335,0.9926,30.89
lr0.001_bs64_dr0.0_ls0.0,42,70,0.0035,0.9988,0.0267,0.9946,30.92
lr0.001_bs64_dr0.0_ls0.0,42,71,0.0031,0.9992,0.0238,0.9954,30.90
lr0.001_bs64_dr0.0_ls0.0,42,72,0.0025,0.9993,0.0321,0.9935,30.93
lr0.001_bs64_dr0.0_ls0.0,42,73,0.0034,0.9989,0.0256,0.9940,30.87
lr0.001_bs64_dr0.0_ls0.0,42,74,0.0026,0.9992,0.0244,0.9942,30.89
lr0.001_bs64_dr0.0_ls0.0,42,75,0.0028,0.9991,0.0270,0.9944,30.81
lr0.001_bs64_dr0.0_ls0.0,42,76,0.0025,0.9992,0.0241,0.9946,30.84
lr0.001_bs64_dr0.0_ls0.0,42,77,0.0033,0.9990,0.0291,0.9940,30.80
lr0.001_bs64_dr0.0_ls0.0,42,78,0.0019,0.9994,0.0257,0.9945,30.81
lr0.001_bs64_dr0.0_ls0.0,42,79,0.0018,0.9995,0.0242,0.9950,30.65
lr0.001_bs64_dr0.0_ls0.0,42,80,0.0019,0.9994,0.0288,0.9940,30.67
lr0.001_bs64_dr0.0_ls0.0,42,81,0.0015,0.9996,0.0249,0.9946,30.63
lr0.001_bs64_dr0.0_ls0.0,42,82,0.0014,0.9996,0.0265,0.9946,30.69
lr0.001_bs64_dr0.0_ls0.0,42,83,0.0013,0.9996,0.0254,0.9948,30.67
lr0.001_bs64_dr0.0_ls0.0,42,84,0.0012,0.9997,0.0246,0.9953,30.67
