config_id,seed,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time
lr0.001_bs64_dr0.0_ls0.0,42,55,0.0024,0.9993,nan,0.9934,35.20
lr0.001_bs64_dr0.0_ls0.0,42,56,0.0022,0.9991,nan,0.9920,35.20
lr0.001_bs64_dr0.0_ls0.0,42,57,0.0022,0.9992,nan,0.9924,35.08
lr0.001_bs64_dr0.0_ls0.0,42,58,0.0029,0.9992,nan,0.9923,35.17
lr0.001_bs64_dr0.0_ls0.0,42,59,0.0021,0.9993,nan,0.9919,35.16
lr0.001_bs64_dr0.0_ls0.0,42,60,0.0017,0.9994,nan,0.9924,35.03
lr0.001_bs64_dr0.0_ls0.0,42,61,0.0016,0.9996,nan,0.9928,35.09
lr0.001_bs64_dr0.0_ls0.0,42,62,0.0014,0.9996,nan,0.9931,34.98
lr0.001_bs64_dr0.0_ls0.0,42,63,0.0021,0.9994,nan,0.9923,34.96
lr0.001_bs64_dr0.0_ls0.0,42,64,0.0020,0.9994,0.0422,0.9924,35.07
lr0.001_bs64_dr0.0_ls0.0,42,65,0.0012,0.9996,nan,0.9915,34.96
lr0.001_bs64_dr0.0_ls0.0,42,66,0.0014,0.9995,nan,0.9931,34.91
lr0.001_bs64_dr0.0_ls0.0,42,67,0.0011,0.9996,nan,0.9931,34.92
lr0.001_bs64_dr0.0_ls0.0,42,68,0.0011,0.9996,nan,0.9927,34.92
lr0.001_bs64_dr0.0_ls0.0,42,69,0.0011,0.9996,nan,0.9913,34.91
lr0.001_bs64_dr0.0_ls0.0,42,70,0.0013,0.9995,nan,0.9933,35.08
lr0.001_bs64_dr0.0_ls0.0,42,71,0.0013,0.9997,nan,0.9933,35.01
lr0.001_bs64_dr0.0_ls0.0,42,72,0.0010,0.9997,nan,0.9930,34.99
lr0.001_bs64_dr0.0_ls0.0,42,73,0.0020,0.9994,nan,0.9935,35.03
lr0.001_bs64_dr0.0_ls0.1,42,1,4.5480,0.6263,1.1469,0.9004,35.53
lr0.001_bs64_dr0.0_ls0.1,42,2,1.0454,0.9294,1.2481,0.9363,35.50
lr0.001_bs64_dr0.0_ls0.1,42,3,0.8936,0.9653,0.8991,0.9673,35.54
lr0.001_bs64_dr0.0_ls0.1,42,4,0.8364,0.9756,0.8196,0.9780,35.43
lr0.001_bs64_dr0.0_ls0.1,42,5,0.8069,0.9816,0.8050,0.9789,35.56
lr0.001_bs64_dr0.0_ls0.1,42,6,0.7990,0.9839,0.7934,0.9819,35.42
lr0.001_bs64_dr0.0_ls0.1,42,7,0.7761,0.9858,0.7905,0.9824,35.43
lr0.001_bs64_dr0.0_ls0.1,42,8,0.7851,0.9869,0.7721,0.9830,35.45
lr0.001_bs64_dr0.0_ls0.1,42,9,0.7567,0.9887,0.7866,0.9796,35.51
lr0.001_bs64_dr0.0_ls0.1,42,10,0.7513,0.9894,nan,0.9803,35.54
lr0.001_bs64_dr0.0_ls0.1,42,11,0.7482,0.9901,0.7550,0.9871,35.57
lr0.001_bs64_dr0.0_ls0.1,42,12,0.7403,0.9916,nan,0.9843,35.56
lr0.001_bs64_dr0.0_ls0.1,42,13,0.7361,0.9922,0.7517,0.9857,35.59
lr0.001_bs64_dr0.0_ls0.1,42,14,0.7385,0.9910,nan,0.9832,35.60
lr0.001_bs64_dr0.0_ls0.1,42,15,0.7310,0.9932,0.7642,0.9845,35.64
lr0.001_bs64_dr0.0_ls0.1,42,16,0.7266,0.9936,0.7483,0.9861,35.59
