lr,batch_size,dropout,label_smoothing,best_train_loss,best_train_acc,best_val_loss,best_val_acc
0.001,64,0.0,0.0,0.0009694468392025157,0.9997441146366428,0.03679769722255461,0.9938524590163934
0.001,64,0.0,0.1,0.6930090020074868,0.9999520214943706,0.7083460473648423,0.995453381147541
0.001,64,0.1,0.0,0.0014117163119402327,0.9995202149437052,0.03401852550515331,0.9932761270491803
0.001,64,0.1,0.1,0.6943996644081057,0.9998240788126919,0.7103715052690043,0.9948770491803278
0.001,128,0.0,0.0,0.000901214460632602,0.9997278432377049,0.036666607554599134,0.9937884221311475
0.001,128,0.0,0.1,0.6927860111226816,0.9999039446721312,0.7092560585197585,0.995453381147541
0.001,128,0.1,0.0,0.0012156114960162133,0.9996477971311475,0.04194123025203798,0.9920594262295082
0.001,128,0.1,0.1,0.6945611063476719,0.9998399077868853,0.7177937256405725,0.9929559426229508
0.0005,64,0.0,0.0,0.0008200602133609117,0.999808085977482,0.03640540575357088,0.9937884221311475
0.0005,64,0.0,0.1,0.6943275351658501,0.9996961361310133,0.7188075555864807,0.9934042008196722
0.0005,64,0.1,0.0,0.0012194148510713593,0.999632164790174,0.036497284804660905,0.9930840163934426
0.0005,64,0.1,0.1,0.6953264168766149,0.999728121801433,0.7239931640722562,0.9928919057377049
0.0005,128,0.0,0.0,0.0005960001696313561,0.9997918801229508,0.03535048892409505,0.9939805327868853
0.0005,128,0.0,0.1,0.6922289800765874,0.9999519723360656,0.7071582296620245,0.9955174180327869
0.0005,128,0.1,0.0,0.0005590699357803812,0.9997918801229508,0.0429944396542702,0.9923155737704918
0.0005,128,0.1,0.1,0.6956128647260349,0.9998078893442623,0.72025119361975,0.9925717213114754
